time	V(n001)	I(V1)	Ix(x1:vdd)	Ix(x2:vdd)	Ix(x3:vdd)	Ix(x4:vdd)
4.606331072005931e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
4.708731072006047e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
4.811131072005936e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
4.913531072005510e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
5.015931072005084e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
5.118331072004659e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
5.220731072004233e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
5.323131072003807e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
5.425531072003381e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
5.527931072002955e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
5.630331072002529e-07	3.000000e-01	-5.378257e-06	1.688705e-06	1.332204e-06	1.781069e-08	2.339497e-06
5.732731072002103e-07	3.000000e-01	-5.378365e-06	1.688705e-06	1.332204e-06	1.781353e-08	2.339642e-06
5.835131072001677e-07	3.000000e-01	-5.378365e-06	1.688705e-06	1.332204e-06	1.781351e-08	2.339643e-06
5.937531072001251e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339643e-06
6.039931072000825e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339643e-06
6.142331072000399e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339643e-06
6.244731071999973e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
6.347131071999547e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
6.449531071999121e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
6.551931071998695e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
6.654331071998269e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
6.756731071997843e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
6.859131071997417e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
6.961531071996991e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
7.063931071996565e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
7.166331071996139e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
7.268731071995713e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
7.371131071995287e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
7.473531071994861e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
7.575931071994435e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
7.678331071994009e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
7.780731071993583e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
7.883131071993157e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
7.985531071992731e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
8.087931071992305e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
8.190331071991879e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
8.292731071991453e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
8.395131071991027e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
8.497531071990601e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
8.599931071990175e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
8.702331071989749e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
8.804731071989323e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
8.907131071988897e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
9.009531071988471e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
9.111931071988045e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
9.214331071987619e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
9.316731071987193e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
9.419131071986767e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
9.521531071986341e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
9.623931071986838e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
9.726331071987497e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
9.828731071988155e-07	3.000000e-01	-5.378366e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
9.931131071988813e-07	3.000000e-01	-5.378365e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
1.003353107198947e-06	3.000000e-01	-5.378365e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
1.013593107199013e-06	3.000000e-01	-5.378365e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
1.023833107199079e-06	3.000000e-01	-5.378365e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
1.034073107199145e-06	3.000000e-01	-5.378365e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
1.044313107199210e-06	3.000000e-01	-5.378365e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
1.054553107199276e-06	3.000000e-01	-5.378365e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
1.064793107199342e-06	3.000000e-01	-5.378366e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
1.075033107199408e-06	3.000000e-01	-5.378366e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
1.085273107199474e-06	3.000000e-01	-5.378366e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
1.095513107199540e-06	3.000000e-01	-5.378366e-06	1.688705e-06	1.332203e-06	1.781350e-08	2.339644e-06
1.105753107199605e-06	3.000000e-01	-5.378367e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
1.115993107199671e-06	3.000000e-01	-5.378367e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
1.126233107199737e-06	3.000000e-01	-5.378368e-06	1.688705e-06	1.332204e-06	1.781350e-08	2.339644e-06
1.136473107199803e-06	3.000000e-01	-5.378369e-06	1.688705e-06	1.332205e-06	1.781350e-08	2.339644e-06
1.146713107199869e-06	3.000000e-01	-5.378370e-06	1.688705e-06	1.332205e-06	1.781350e-08	2.339644e-06
1.156953107199934e-06	3.000000e-01	-5.378371e-06	1.688705e-06	1.332206e-06	1.781350e-08	2.339644e-06
1.167193107200000e-06	3.000000e-01	-5.378371e-06	1.688705e-06	1.332207e-06	1.781350e-08	2.339644e-06
1.177433107200066e-06	3.000000e-01	-5.378372e-06	1.688705e-06	1.332207e-06	1.781350e-08	2.339644e-06
1.187673107200132e-06	3.000000e-01	-5.378373e-06	1.688705e-06	1.332208e-06	1.781350e-08	2.339644e-06
1.197913107200198e-06	3.000000e-01	-5.378374e-06	1.688705e-06	1.332209e-06	1.781350e-08	2.339644e-06
1.208153107200264e-06	3.000000e-01	-5.378374e-06	1.688705e-06	1.332209e-06	1.781350e-08	2.339644e-06
1.218393107200329e-06	3.000000e-01	-5.378374e-06	1.688705e-06	1.332209e-06	1.781350e-08	2.339644e-06
1.228633107200395e-06	3.000000e-01	-5.378374e-06	1.688705e-06	1.332210e-06	1.781350e-08	2.339644e-06
1.238873107200461e-06	3.000000e-01	-5.378373e-06	1.688705e-06	1.332210e-06	1.781350e-08	2.339644e-06
1.249113107200527e-06	3.000000e-01	-5.378371e-06	1.688705e-06	1.332209e-06	1.781350e-08	2.339644e-06
1.259353107200593e-06	3.000000e-01	-5.378369e-06	1.688705e-06	1.332208e-06	1.781350e-08	2.339644e-06
1.269593107200658e-06	3.000000e-01	-5.378366e-06	1.688704e-06	1.332207e-06	1.781350e-08	2.339644e-06
1.279833107200724e-06	3.000000e-01	-5.378362e-06	1.688704e-06	1.332205e-06	1.781350e-08	2.339644e-06
1.290073107200790e-06	3.000000e-01	-5.378357e-06	1.688704e-06	1.332202e-06	1.781350e-08	2.339644e-06
1.300313107200856e-06	3.000000e-01	-5.378351e-06	1.688704e-06	1.332199e-06	1.781350e-08	2.339644e-06
1.310553107200922e-06	3.000000e-01	-5.378345e-06	1.688705e-06	1.332195e-06	1.781350e-08	2.339644e-06
1.320793107200988e-06	3.000000e-01	-5.378337e-06	1.688705e-06	1.332190e-06	1.781350e-08	2.339644e-06
1.331033107201053e-06	3.000000e-01	-5.378329e-06	1.688705e-06	1.332185e-06	1.781350e-08	2.339644e-06
1.341273107201119e-06	3.000000e-01	-5.378321e-06	1.688705e-06	1.332179e-06	1.781350e-08	2.339644e-06
1.351513107201185e-06	3.000000e-01	-5.378312e-06	1.688706e-06	1.332173e-06	1.781350e-08	2.339644e-06
1.361753107201251e-06	3.000000e-01	-5.378304e-06	1.688706e-06	1.332167e-06	1.781350e-08	2.339644e-06
1.371993107201317e-06	3.000000e-01	-5.378297e-06	1.688707e-06	1.332161e-06	1.781350e-08	2.339644e-06
1.382233107201383e-06	3.000000e-01	-5.378291e-06	1.688708e-06	1.332155e-06	1.781350e-08	2.339644e-06
1.392473107201448e-06	3.000000e-01	-5.378288e-06	1.688709e-06	1.332150e-06	1.781350e-08	2.339644e-06
1.402713107201514e-06	3.000000e-01	-5.378288e-06	1.688710e-06	1.332147e-06	1.781350e-08	2.339644e-06
1.412953107201580e-06	3.000000e-01	-5.378292e-06	1.688711e-06	1.332145e-06	1.781350e-08	2.339644e-06
1.423193107201646e-06	3.000000e-01	-5.378301e-06	1.688712e-06	1.332146e-06	1.781350e-08	2.339644e-06
1.433433107201712e-06	3.000000e-01	-5.378316e-06	1.688713e-06	1.332151e-06	1.781350e-08	2.339644e-06
1.443673107201777e-06	3.000000e-01	-5.378339e-06	1.688714e-06	1.332160e-06	1.781350e-08	2.339644e-06
1.453913107201843e-06	3.000000e-01	-5.378368e-06	1.688714e-06	1.332173e-06	1.781350e-08	2.339644e-06
1.464153107201909e-06	3.000000e-01	-5.378407e-06	1.688715e-06	1.332192e-06	1.781349e-08	2.339644e-06
1.474393107201975e-06	3.000000e-01	-5.378454e-06	1.688715e-06	1.332217e-06	1.781349e-08	2.339644e-06
1.484633107202041e-06	3.000000e-01	-5.378510e-06	1.688715e-06	1.332249e-06	1.781349e-08	2.339644e-06
1.494873107202107e-06	3.000000e-01	-5.378574e-06	1.688714e-06	1.332287e-06	1.781349e-08	2.339644e-06
1.505113107202172e-06	3.000000e-01	-5.378646e-06	1.688712e-06	1.332332e-06	1.781349e-08	2.339644e-06
1.515353107202238e-06	3.000000e-01	-5.378723e-06	1.688710e-06	1.332382e-06	1.781349e-08	2.339644e-06
1.525593107202304e-06	3.000000e-01	-5.378804e-06	1.688706e-06	1.332438e-06	1.781349e-08	2.339644e-06
1.535833107202370e-06	3.000000e-01	-5.378885e-06	1.688702e-06	1.332497e-06	1.781349e-08	2.339644e-06
1.546073107202436e-06	3.000000e-01	-5.378963e-06	1.688696e-06	1.332558e-06	1.781349e-08	2.339644e-06
1.556313107202501e-06	3.000000e-01	-5.379030e-06	1.688689e-06	1.332618e-06	1.781349e-08	2.339644e-06
1.566553107202567e-06	3.000000e-01	-5.379082e-06	1.688682e-06	1.332673e-06	1.781349e-08	2.339644e-06
1.576793107202633e-06	3.000000e-01	-5.379112e-06	1.688673e-06	1.332719e-06	1.781350e-08	2.339644e-06
1.587033107202699e-06	3.000000e-01	-5.379110e-06	1.688664e-06	1.332750e-06	1.781350e-08	2.339644e-06
1.597273107202765e-06	3.000000e-01	-5.379069e-06	1.688654e-06	1.332763e-06	1.781350e-08	2.339644e-06
1.607513107202831e-06	3.000000e-01	-5.378979e-06	1.688644e-06	1.332749e-06	1.781350e-08	2.339644e-06
1.617753107202896e-06	3.000000e-01	-5.378831e-06	1.688634e-06	1.332702e-06	1.781350e-08	2.339644e-06
1.627993107202962e-06	3.000000e-01	-5.378616e-06	1.688625e-06	1.332616e-06	1.781351e-08	2.339644e-06
1.638233107203028e-06	3.000000e-01	-5.378326e-06	1.688618e-06	1.332484e-06	1.781351e-08	2.339644e-06
1.648473107203094e-06	3.000000e-01	-5.377955e-06	1.688614e-06	1.332299e-06	1.781351e-08	2.339644e-06
1.658713107203160e-06	3.000000e-01	-5.377501e-06	1.688613e-06	1.332056e-06	1.781352e-08	2.339644e-06
1.668953107203226e-06	3.000000e-01	-5.376962e-06	1.688617e-06	1.331751e-06	1.781352e-08	2.339644e-06
1.679193107203291e-06	3.000000e-01	-5.376342e-06	1.688626e-06	1.331383e-06	1.781352e-08	2.339644e-06
1.689433107203357e-06	3.000000e-01	-5.375652e-06	1.688643e-06	1.330953e-06	1.781352e-08	2.339644e-06
1.699673107203423e-06	3.000000e-01	-5.374908e-06	1.688668e-06	1.330466e-06	1.781353e-08	2.339644e-06
1.709913107203489e-06	3.000000e-01	-5.374132e-06	1.688701e-06	1.329931e-06	1.781353e-08	2.339644e-06
1.720153107203555e-06	3.000000e-01	-5.373358e-06	1.688745e-06	1.329363e-06	1.781352e-08	2.339644e-06
1.730393107203620e-06	3.000000e-01	-5.372625e-06	1.688800e-06	1.328781e-06	1.781352e-08	2.339644e-06
1.740633107203686e-06	3.000000e-01	-5.371985e-06	1.688865e-06	1.328213e-06	1.781352e-08	2.339644e-06
1.750873107203752e-06	3.000000e-01	-5.371497e-06	1.688940e-06	1.327693e-06	1.781351e-08	2.339644e-06
